n_clusters,samples,time,entropy,iterations
2,500,0.402617,4.2868699999999995,0
2,500,0.35186,4.268791,1
2,500,0.351785,4.297937999999999,1
2,500,0.37418,4.216014,5
2,500,0.346926,4.226277,10
2,1000,0.663848,4.284975,0
2,1000,0.6513899999999999,4.3140279999999995,1
2,1000,0.631945,4.223094000000001,5
2,1000,0.6717310000000001,4.233442,10
2,1000,0.646466,4.21321,22
2,2500,1.57638,4.301095,0
2,2500,1.494445,4.281391,1
2,2500,1.4736690000000001,4.233619,5
2,2500,1.567682,4.247889,10
2,2500,1.5039770000000001,4.218458,14
2,5000,2.933678,4.298733,0
2,5000,2.8998060000000003,4.295108,1
2,5000,2.9075860000000002,4.2142599999999995,5
2,5000,3.090273,4.230782,10
2,5000,2.948124,4.215248,13
3,500,0.394368,4.2866290000000005,0
3,500,0.363688,4.265864,1
3,500,0.365911,4.169808,5
3,500,0.394295,4.179037,6
3,500,0.360661,4.1975690000000005,10
3,1000,0.698778,4.2163260000000005,0
3,1000,0.662573,4.215533,1
3,1000,0.653752,4.181921,5
3,1000,0.692498,4.1575,10
3,1000,0.660929,4.167377,13
3,2500,1.6074190000000002,4.288962000000001,0
3,2500,1.489263,4.17411,1
3,2500,1.524198,4.1692800000000005,5
3,2500,1.6179629999999998,4.163245,10
3,2500,1.5710790000000001,4.159827,14
3,5000,2.911596,4.263017,0
3,5000,2.918835,4.2026580000000004,1
3,5000,2.9746799999999998,4.232241999999999,5
3,5000,3.1062950000000003,4.1742099999999995,10
3,5000,2.9784650000000004,4.183438,13
4,500,0.417288,4.178757,0
4,500,0.389099,4.183585,1
4,500,0.406073,4.129739,5
4,500,0.39671100000000004,4.148827,10
4,500,0.421411,4.1515379999999995,19
4,1000,0.723366,4.196043,0
4,1000,0.745062,4.191971,1
4,1000,0.679809,4.1463529999999995,5
4,1000,0.724671,4.118443,10
4,1000,0.679764,4.162681,10
4,2500,1.6269559999999998,4.146429,0
4,2500,1.540249,4.1819690000000005,1
4,2500,1.533933,4.193756,5
4,2500,1.6433970000000002,4.16711,10
4,2500,1.529941,4.1100900000000005,16
4,5000,2.938777,4.228035,0
4,5000,2.967912,4.16761,1
4,5000,2.950268,4.124896,5
4,5000,3.1461930000000002,4.1370260000000005,10
4,5000,2.9704330000000003,4.113358,15
5,500,0.42704200000000003,4.1368160000000005,0
5,500,0.404878,4.185857,1
5,500,0.406409,4.135836,5
5,500,0.42682299999999995,4.1181470000000004,10
5,500,0.437953,4.12047,11
5,1000,0.73632,4.114096,0
5,1000,0.716969,4.15687,1
5,1000,0.698905,4.115494,5
5,1000,0.7434689999999999,4.1056870000000005,10
5,1000,0.706026,4.124494,20
5,2500,1.666323,4.142098000000001,0
5,2500,1.580791,4.120623,1
5,2500,1.551133,4.11067,5
5,2500,1.6593490000000002,4.098376,10
5,2500,1.6023690000000002,4.10168,36
5,5000,2.963763,4.143484,0
5,5000,2.979966,4.107801,1
5,5000,2.990534,4.1264769999999995,5
5,5000,3.182611,4.116643,10
5,5000,3.058777,4.095014,22
6,500,0.44650100000000004,4.111039,0
6,500,0.442301,4.157333,1
6,500,0.418917,4.121251999999999,5
6,500,0.43364899999999995,4.078255,10
6,500,0.456,4.089066000000001,14
6,1000,0.759459,4.116526,0
6,1000,0.726221,4.108105,1
6,1000,0.73217,4.142686,5
6,1000,0.774022,4.088634,10
6,1000,0.747491,4.099589,15
6,2500,1.660657,4.175073,0
6,2500,1.577159,4.125412,1
6,2500,1.608829,4.088727,5
6,2500,1.714109,4.0810699999999995,10
6,2500,1.61194,4.078437,23
6,5000,2.966803,4.13276,0
6,5000,2.975625,4.088364,1
6,5000,3.007269,4.091405,5
6,5000,3.190318,4.060809,10
6,5000,3.069575,4.117596,26
7,500,0.485311,4.157296,0
7,500,0.441076,4.159648000000001,1
7,500,0.442395,4.067375,5
7,500,0.46746000000000004,4.134971,9
7,500,0.48763199999999995,4.091349,17
7,1000,0.768319,4.088533999999999,0
7,1000,0.7215159999999999,4.102768,1
7,1000,0.718274,4.067071,5
7,1000,0.789972,4.058747,10
7,1000,0.75917,4.0459879999999995,12
7,2500,1.689502,4.111987,0
7,2500,1.573655,4.104245,1
7,2500,1.585609,4.08368,5
7,2500,1.717114,4.073242,10
7,2500,1.749652,4.071608,23
7,5000,3.012714,4.090796,0
7,5000,2.982735,4.179025,1
7,5000,3.036867,4.104547,5
7,5000,3.214487,4.037116999999999,10
7,5000,3.100446,4.059761,22
8,500,0.494588,4.113169,0
8,500,0.45381000000000005,4.087398,1
8,500,0.461979,4.11471,5
8,500,0.462477,4.062194,8
8,500,0.515572,4.105944,24
8,1000,0.795564,4.113551999999999,0
8,1000,0.7368279999999999,4.092181,1
