,n_clusters,pp,first_assignment,sensitivities,random_sampling,coreset_indices,kmeans,whole_set_assign,full_time,entropy,iters,iter_time,iters_for_pp
0,1000.0,7.133297,6.030281,13.16604,1.476884,14.642967,2.942944,6.015065,23.660865,3.758239,9.0,0.32699377777777777,21.814779010405907
1,1000.0,6.995285,6.022929,13.019637,1.496016,14.515696,2.923351,5.973796,23.449507,3.759514,9.0,0.32481677777777773,21.536095049824674
2,1000.0,7.010765,5.991039,13.003201,1.474819,14.478054,2.921948,6.051057,23.483687,3.758392,9.0,0.3246608888888889,21.59411632239862
3,1000.0,6.993236,6.009967,13.004603,1.495788,14.500423,2.615425,5.968501,23.118401,3.757639,8.0,0.326928125,21.390744525268357
4,1000.0,7.002707,5.988651,12.992754,1.479641,14.472429,2.905424,5.965881,23.378146,3.758495,9.0,0.3228248888888889,21.691967506291682
5,1000.0,6.979573,6.057783,13.038733,1.485717,14.524488,2.925804,6.027382,23.511071,3.75808,9.0,0.32508933333333334,21.46970781364712
6,1000.0,6.967238,6.022169,12.991497,1.485901,14.477436,2.985793,6.017443,23.516303,3.75844,9.0,0.3317547777777778,21.0011685337865
7,1000.0,6.961156,6.007075,12.969599,1.482193,14.451825,3.466839,6.049091,23.999839,3.759015,11.0,0.3151671818181818,22.087185473568283
8,1000.0,6.984999,5.9599,12.946319,1.496581,14.442931,3.178107,5.970626,23.625948,3.760842,10.0,0.3178107,21.978489081708073
9,1000.0,6.970496,5.984942,12.956945,1.477231,14.434207,2.890133,5.998491,23.354781,3.759104,9.0,0.3211258888888889,21.7064280432769
10,1000.0,6.977483,6.064068,13.043673,1.471756,14.515476,3.76774,5.991246,24.311004,3.759762,12.0,0.3139783333333333,22.222816861036062
11,1000.0,7.036458,5.990874,13.028843,1.485497,14.514373,3.202162,5.99191,23.7459,3.757919,10.0,0.3202162,21.974085008815916
12,1000.0,6.913512,5.956944,12.871934,1.480351,14.352322,2.881392,5.979893,23.248572,3.757799,9.0,0.32015466666666664,21.59428776091556
13,1000.0,6.961904,5.968057,12.93141,1.473804,14.405247,4.07439,5.971458,24.483596,3.759085,13.0,0.3134146153846154,22.213080240232276
14,1000.0,7.015171,5.983364,13.000563,1.483293,14.483897,3.752116,6.042981,24.31155,3.757315,12.0,0.31267633333333333,22.435887376616286
15,1000.0,7.001694,6.006478,13.009777,1.483894,14.493713,2.601571,5.970558,23.101444,3.758128,8.0,0.325196375,21.53066435626781
16,1000.0,7.028859,5.977473,13.007836,1.478683,14.48655,3.163152,6.011378,23.695599,3.759283,10.0,0.3163152,22.221059879512584
17,1000.0,6.991852,5.976519,12.96976,1.453173,14.422966,3.441228,5.97883,23.874363,3.760006,11.0,0.3128389090909091,22.34968796022815
18,1000.0,6.944241,5.993561,12.939875,1.482575,14.422487,3.178044,5.992418,23.626564,3.758276,10.0,0.3178044,21.85067607622802
19,1000.0,7.030137,5.960161,12.991719,1.466527,14.458276,3.153016,5.973023,23.615733,3.757941,10.0,0.3153016,22.296547178955006
20,2000.0,13.953744,11.906777,25.862248,1.496959,27.359244,21.947788,11.992411,61.33461,3.740352,37.0,0.5931834594594594,23.523488016195532
21,2000.0,13.897879,12.072458,25.971724,1.486771,27.458526,16.125619,11.966811,55.583135,3.740076,27.0,0.5972451481481481,23.269973884413368
22,2000.0,13.932803,12.140274,26.074472,1.497967,27.572482,27.843587,11.903444,67.352275,3.739994,47.0,0.592416744680851,23.51858404594207
23,2000.0,13.811401,11.856875,25.669563,1.461837,27.131429,16.130097,11.850522,55.14367,3.739199,27.0,0.597411,23.118759112235963
24,2000.0,13.853423,11.980732,25.835453,1.478184,27.31367,17.223387,12.127546,56.698611,3.739785,28.0,0.6151209642857143,22.521461313039065
25,2000.0,13.865633,11.916622,25.783563,1.446837,27.230455,17.858614,11.903774,57.02554,3.739762,30.0,0.5952871333333333,23.29234452348878
26,2000.0,13.895256,11.988147,25.885742,1.475479,27.361266,18.534574,11.920865,57.847861,3.740274,31.0,0.5978894838709677,23.240509115558847
27,2000.0,13.910378,11.893956,25.805655,1.489975,27.295669,19.686559,11.917246,58.930973,3.74033,33.0,0.5965623939393939,23.3175576290402
28,2000.0,13.835344,12.374039,26.21116,1.487464,27.698656,20.331944,12.017301,60.08224,3.739095,34.0,0.5979983529411764,23.13609047910028
29,2000.0,13.947432,11.993063,25.942448,1.473668,27.416161,13.864596,11.97392,53.287571,3.740089,23.0,0.6028085217391305,23.137416770023446
30,2000.0,13.951386,12.05571,26.008513,1.524759,27.533305,23.177816,11.948443,62.691164,3.740917,39.0,0.5943029743589744,23.47520810416305
31,2000.0,13.890174,11.959996,25.851555,1.477364,27.328954,16.925193,11.991457,56.278268,3.740273,28.0,0.6044711785714286,22.97905093312673
32,2000.0,13.941764,11.991768,25.935588,1.494504,27.430133,14.504569,12.039818,54.00763,3.740662,24.0,0.6043570416666667,23.068754128440492
33,2000.0,13.894428,12.035438,25.931303,1.478262,27.409604,20.274047,11.952552,59.668649,3.740829,34.0,0.5962955,23.30124577495554
34,2000.0,13.937205,11.944937,25.88419,1.46856,27.352789,23.813954,11.953414,63.153431,3.740336,40.0,0.5953488499999999,23.410148520485095
35,2000.0,14.032359,12.102416,26.136191,1.479674,27.615895,19.041082,11.896067,58.585176,3.740881,32.0,0.5950338125,23.582456501158916
36,2000.0,13.824633,11.941434,25.767462,1.490169,27.257661,20.2716,11.928937,59.491119,3.739711,34.0,0.5962235294117647,23.186996685017462
37,2000.0,13.912498,11.989908,25.904388,1.469441,27.373872,16.792535,12.048399,56.249113,3.739621,28.0,0.5997333928571429,23.197804500630784
38,2000.0,13.932515,11.972248,25.906182,1.474475,27.380689,18.489238,12.019981,57.925424,3.740165,31.0,0.5964270322580645,23.35996567300394
39,2000.0,13.980275,12.04289,26.025429,1.476868,27.502338,15.0618,11.878293,54.47387,3.740524,25.0,0.602472,23.2048543334794
