,n_clusters,pp,first_assign,sensitivities,random_sampling,coreset_indices,kmeans,assign_whole,full_time,entropy,iters,per_iter
0,1000.0,102.754092,98.531336,201.290872,9.885165,211.176074,49.29027,98.451396,359.959937,4.532818,16.0,3.080641875
1,1000.0,103.314804,98.2767,201.597027,9.904565,211.501629,46.881891,103.480446,362.635584,4.53257,15.0,3.1254594
2,1000.0,103.16577,97.393568,200.56693,9.986933,210.55391,39.987376,97.84323,349.191902,4.53119,13.0,3.075952
3,1000.0,102.339199,97.769587,200.114163,9.829561,209.943759,51.201017,97.0875,358.938625,4.532475,17.0,3.011824529411765
4,1000.0,102.444367,97.623756,200.073161,9.858992,209.932196,42.585061,97.065212,350.296954,4.533766,14.0,3.0417900714285717
5,1000.0,103.059658,97.444318,200.512502,9.86465,210.377195,45.490124,98.936429,355.593422,4.535487,15.0,3.0326749333333334
6,1000.0,102.148487,97.306553,199.460293,9.878372,209.338708,57.16449,97.607664,364.898152,4.530007,19.0,3.0086573684210527
7,1000.0,101.548866,97.251276,198.805298,9.773378,208.578718,42.839133,97.197813,349.342194,4.535894,14.0,3.0599380714285713
8,1000.0,102.276961,97.301678,199.584471,9.833836,209.41836,45.67171,96.350969,352.203166,4.537793,15.0,3.0447806666666666
9,1000.0,102.060011,96.540532,198.607899,9.905387,208.51332,57.028141,96.24323,362.516864,4.53489,19.0,3.001481105263158
10,1000.0,101.358715,96.36041,197.724006,9.841666,207.565708,59.424709,97.123106,364.840899,4.53083,20.0,2.97123545
11,1000.0,101.673505,96.363513,198.041976,9.82716,207.869166,39.422399,96.609702,344.651918,4.535595,13.0,3.032492230769231
12,1000.0,100.878375,95.7845,196.668843,9.806371,206.475291,50.938682,95.978032,354.125691,4.533181,17.0,2.9963930588235295
13,1000.0,100.183436,96.970787,197.161818,9.868731,207.030595,42.584316,96.158888,346.51788,4.535458,14.0,3.0417368571428574
14,1000.0,101.035322,96.835691,197.876762,9.754355,207.631149,45.606864,96.892029,350.867926,4.534191,15.0,3.0404576000000003
15,1000.0,101.550956,97.040327,198.596533,9.785728,208.382294,50.903752,96.719804,356.754111,4.532145,17.0,2.9943383529411762
16,1000.0,102.39735,96.423772,198.825983,9.981816,208.80784,42.57205,97.201187,349.30133,4.533484,14.0,3.040860714285714
17,1000.0,101.60304,96.619827,198.231108,9.845455,208.076606,59.598318,96.558488,364.969648,4.534584,20.0,2.9799159
18,1000.0,101.564122,96.15547,197.72459,9.834233,207.558854,45.779973,97.026654,351.095131,4.533523,15.0,3.0519982
19,1000.0,101.023104,96.787462,197.822525,9.90687,207.729444,33.868791,96.492017,338.863187,4.532095,11.0,3.078981
20,2000.0,203.470852,194.214819,397.692812,9.799719,407.492571,62.326966,193.712009,664.304843,4.516688,10.0,6.2326966
21,2000.0,204.299548,192.919592,397.226322,9.803362,407.029722,73.328297,193.298035,674.399534,4.514393,12.0,6.1106914166666675
22,2000.0,202.459053,192.559503,395.024082,9.887859,404.911982,79.110477,193.898344,678.677984,4.513836,13.0,6.085421307692308
23,2000.0,202.278738,193.485047,395.771798,9.728391,405.500239,79.301724,193.550578,679.13003,4.517723,13.0,6.100132615384615
24,2000.0,202.565484,194.211004,396.784333,9.748989,406.533369,79.73974,193.929088,680.987227,4.514627,13.0,6.133826153846154
25,2000.0,201.903729,192.258807,394.170548,9.745453,403.916044,67.785534,194.153741,666.56665,4.517853,11.0,6.162321272727272
26,2000.0,203.140717,193.901005,397.047788,9.81653,406.86437,51.071553,193.231761,651.924132,4.516925,8.0,6.383944125
27,2000.0,202.79244,193.641011,396.441483,9.810099,406.251628,79.243038,193.211978,679.417222,4.514388,13.0,6.095618307692307
28,2000.0,202.942877,192.946465,395.897946,9.769262,405.667246,74.51357,193.26489,674.171036,4.513298,12.0,6.209464166666667
29,2000.0,203.297747,193.370146,396.677858,9.860843,406.538754,50.787552,193.081327,651.160702,4.519547,8.0,6.348444
30,2000.0,202.060645,193.025742,395.091801,9.779255,404.871097,96.130793,193.463256,695.194903,4.51455,16.0,6.0081745625
31,2000.0,202.99135,194.167291,397.166482,9.803926,406.97046,68.197946,194.721277,670.648842,4.513183,11.0,6.199813272727273
32,2000.0,203.373437,193.68159,397.064593,9.841413,406.906087,74.142444,194.049335,675.842566,4.511442,12.0,6.1785369999999995
33,2000.0,203.090422,193.251618,396.35151,9.940364,406.291912,79.453838,193.206585,679.76168,4.519158,13.0,6.111833692307693
34,2000.0,203.131704,192.899573,396.042071,9.795749,405.837877,78.350892,193.439315,678.379081,4.515376,13.0,6.026991692307693
35,2000.0,202.073566,192.943604,395.022909,9.791212,404.814162,73.317389,192.841042,671.714829,4.51241,12.0,6.109782416666667
36,2000.0,201.591815,192.654777,394.25369,9.864612,404.118355,68.796772,193.568859,667.22223,4.51477,11.0,6.254252
37,2000.0,202.884819,192.553727,395.443992,9.686937,405.130973,56.403678,193.273771,655.549794,4.515935,9.0,6.2670753333333336
38,2000.0,203.472545,193.522917,397.005456,9.860507,406.866,68.047367,194.306923,670.007116,4.51882,11.0,6.186124272727272
39,2000.0,202.89845,193.961544,396.867763,9.787871,406.655677,73.946717,194.191674,675.532421,4.516331,12.0,6.162226416666667
