n_clusters,CO_500_init,CO_500_iter1,CO_500_iter5,CO_500_iter10,CO_500_final
2,4.286870,4.276649,4.231662,4.300214,4.227597
3,4.207501,4.185865,4.161974,4.192104,4.166147
4,4.212570,4.172159,4.194445,4.127554,4.159833
5,4.205006,4.157592,4.103478,4.108474,4.122208
6,4.178291,4.193752,4.118182,4.096719,4.112928
7,4.119725,4.108949,4.085226,4.106381,4.101293
8,4.099550,4.083675,4.063566,4.077313,4.088920
9,4.075046,4.072123,4.072159,4.042320,4.101441
10,4.041719,4.031108,4.043305,4.026455,4.038570
11,4.122984,4.032539,4.026006,4.015220,3.999962
12,4.026987,4.087554,4.047233,4.036471,4.005664
13,4.021179,4.016849,4.001816,4.013588,4.005893
14,4.027407,4.018241,3.985716,4.018567,4.006948
15,3.995674,3.998501,3.976717,3.980677,3.993846
16,3.992300,4.005115,3.984161,3.983442,3.973625
17,3.999415,4.000379,3.973316,3.975441,3.978259
18,4.007310,3.998648,3.992513,3.961392,3.963171
19,3.962936,3.962895,3.976509,3.962828,3.985143
20,3.971107,3.947159,3.966022,3.958407,3.963036
30,3.925199,3.927217,3.919826,3.913842,3.913018
40,3.899851,3.918228,3.890011,3.895940,3.891812
50,3.893535,3.897117,3.868423,3.871265,3.884613
100,3.846389,3.853290,3.841949,3.841534,3.839867
200,3.814485,3.826007,3.815894,3.817873,3.817753
300,3.798622,3.812810,3.804449,3.804259,3.801589
400,3.787448,3.808574,3.793739,3.795624,3.796890
500,3.781007,3.809724,3.797574,3.796202,3.794458
1000,3.759340,3.789777,3.791898,3.789422,3.792009
2000,3.737041,3.782330,3.783915,3.783664,3.783872
