n_clusters,CO_500_init,CO_500_iter1,CO_500_iter5,CO_500_iter10,CO_500_final
2,0,1,5,3,4
3,0,1,5,10,9
4,0,1,5,9,15
5,0,1,5,5,10
6,0,1,5,10,13
7,0,1,5,10,12
8,0,1,5,10,17
9,0,1,5,10,11
10,0,1,5,10,10
11,0,1,5,10,14
12,0,1,5,10,15
13,0,1,5,10,10
14,0,1,5,10,22
15,0,1,5,10,12
16,0,1,5,10,9
17,0,1,5,8,19
18,0,1,5,10,17
19,0,1,5,10,18
20,0,1,5,10,26
30,0,1,5,10,9
40,0,1,5,10,17
50,0,1,5,10,16
100,0,1,5,10,12
200,0,1,5,10,8
300,0,1,5,10,11
400,0,1,5,10,100
500,0,1,5,10,100
1000,0,1,5,10,100
2000,0,1,5,10,100
