n_clusters,CO_500_init,CO_500_iter1,CO_500_iter5,CO_500_iter10,CO_500_final
2,0.410459,0.379859,0.382495,0.388631,0.393538
3,0.426225,0.418975,0.417167,0.404812,0.401211
4,0.429163,0.391155,0.432088,0.450128,0.458869
5,0.469898,0.460424,0.466762,0.452058,0.439056
6,0.462692,0.442333,0.437985,0.450879,0.452911
7,0.472207,0.456815,0.458890,0.473435,0.462626
8,0.463216,0.469356,0.475933,0.490024,0.487445
9,0.502061,0.499228,0.500016,0.515270,0.493844
10,0.524113,0.533092,0.586167,0.560386,0.542612
11,0.556315,0.542460,0.537652,0.545196,0.538790
12,0.557355,0.549401,0.552792,0.558130,0.556167
13,0.572522,0.569252,0.577634,0.580015,0.590574
14,0.607621,0.615331,0.613887,0.621915,0.607816
15,0.620625,0.614396,0.618053,0.623043,0.601407
16,0.625822,0.631592,0.638627,0.616372,0.615567
17,0.644150,0.652045,0.647687,0.647785,0.663863
18,0.663852,0.672460,0.662653,0.658473,0.668962
19,0.688287,0.692051,0.677309,0.702474,0.706113
20,0.710776,0.690519,0.723408,0.792910,0.806792
30,0.927870,0.895298,0.921573,0.926227,0.887253
40,1.089613,1.080109,1.095592,1.116318,1.158447
50,1.300567,1.275257,1.241530,1.300522,1.283041
100,2.191485,2.216781,2.211445,2.250382,2.251639
200,4.072929,4.079140,4.098992,4.274156,4.096654
300,5.871203,5.903040,6.073169,6.068695,6.101201
400,7.828429,7.883654,7.894849,7.885122,10.099625
500,9.701371,9.559530,9.788949,10.001971,12.433173
1000,19.082015,18.771377,19.214591,19.473605,24.633443
2000,37.973243,37.792290,37.852564,41.439556,48.738290
