n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,4.312111,4.293432,4.218341,4.218646,4.293432,4.275954,4.261125,4.260743,4.260723
3,4.308890,4.281787,4.162769,4.156357,4.281787,4.248783,4.192338,4.182357,4.162973
4,4.306574,4.274135,4.124637,4.120579,4.274135,4.239443,4.173825,4.119540,4.112675
5,4.304866,4.257562,4.137616,4.088541,4.257562,4.224650,4.162170,4.109107,4.102027
6,4.305415,4.244747,4.056471,4.060809,4.244747,4.209123,4.143611,4.091732,4.084509
7,4.302880,4.233705,4.083120,4.043605,4.233705,4.199067,4.131580,4.061793,4.037913
8,4.302410,4.219552,4.066715,4.024372,4.219552,4.182374,4.109312,4.041789,4.019769
9,4.300615,4.200638,4.023594,4.022445,4.200638,4.150876,4.076468,4.048826,4.007426
10,4.299327,4.182388,4.016697,4.016839,4.182388,4.132395,4.061027,4.025457,3.998027
11,4.299077,4.094094,4.001101,4.004316,4.094094,4.047165,3.990833,3.984539,3.979206
12,4.299486,4.082190,4.000956,4.034470,4.082190,4.034865,3.976439,3.975475,3.975453
13,4.296978,4.064298,3.982815,3.976627,4.064298,4.005537,3.967540,3.965407,3.965352
14,4.295641,4.038593,3.980137,3.966453,4.038593,3.988002,3.959935,3.959063,3.959034
15,4.295042,4.004704,3.968749,3.948606,4.004704,3.971464,3.952841,3.951191,3.949007
16,4.295179,3.984527,3.965344,3.946841,3.984527,3.966388,3.950500,3.948239,3.945877
17,4.293121,3.963525,3.939097,3.952941,3.963525,3.945606,3.935943,3.935322,3.925289
18,4.293256,3.958536,3.942383,3.945565,3.958536,3.939202,3.927761,3.926838,3.921053
19,4.292406,3.965785,3.950656,3.943618,3.965785,3.942859,3.918632,3.916376,3.909315
20,4.292627,3.965782,3.943703,3.942247,3.965782,3.945236,3.917759,3.914228,3.904272
30,4.284504,3.908118,3.886639,3.890974,3.963111,3.908483,3.877008,3.874373,3.870916
40,4.280901,3.879815,3.878175,3.864151,3.962779,3.893972,3.856134,3.854918,3.852614
50,4.277604,3.872624,3.859678,3.853003,3.960809,3.882149,3.844723,3.842771,3.840378
100,4.262688,3.844291,3.827724,3.826462,3.956388,3.848018,3.811749,3.809066,3.807591
200,4.245774,3.828103,3.805168,3.798430,3.948888,3.823809,3.790130,3.786933,3.785160
300,4.230310,3.817214,3.789849,3.787374,3.943362,3.813832,3.777255,3.774521,3.773107
400,4.219764,3.808782,3.786093,3.780879,3.938945,3.803827,3.770196,3.767483,3.765623
500,4.208679,3.803519,3.776211,3.771823,3.934656,3.797431,3.762828,3.760508,3.759326
1000,4.167600,3.782902,3.757900,3.752949,3.917938,3.774739,3.745249,3.743250,3.742521
2000,4.113847,3.758082,3.740736,3.734592,3.894607,3.752249,3.728914,3.726973,3.726628
