n_clusters,Random,RG,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0,0,0,1,5,10,19
3,0,0,0,1,5,10,29
4,0,0,0,1,5,10,28
5,0,0,0,1,5,10,27
6,0,0,0,1,5,10,22
7,0,0,0,1,5,10,31
8,0,0,0,1,5,10,31
9,0,0,0,1,5,10,38
10,0,0,0,1,5,10,34
11,0,0,0,1,5,10,26
12,0,0,0,1,5,10,17
13,0,0,0,1,5,10,22
14,0,0,0,1,5,10,19
15,0,0,0,1,5,10,34
16,0,0,0,1,5,10,31
17,0,0,0,1,5,10,82
18,0,0,0,1,5,10,68
19,0,0,0,1,5,10,47
20,0,0,0,1,5,10,42
30,0,0,0,1,5,10,74
40,0,0,0,1,5,10,32
50,0,0,0,1,5,10,57
100,0,0,0,1,5,10,55
200,0,0,0,1,5,10,44
300,0,0,0,1,5,10,39
400,0,0,0,1,5,10,44
500,0,0,0,1,5,10,50
1000,0,0,0,1,5,10,38
2000,0,0,0,1,5,10,26
