n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0,0,22,42,0,1,5,10,19
3,0,0,14,20,0,1,5,10,29
4,0,0,10,41,0,1,5,10,28
5,0,0,14,26,0,1,5,10,27
6,0,0,18,28,0,1,5,10,22
7,0,0,27,23,0,1,5,10,31
8,0,0,27,35,0,1,5,10,31
9,0,0,19,15,0,1,5,10,38
10,0,0,15,15,0,1,5,10,34
11,0,0,16,16,0,1,5,10,26
12,0,0,26,27,0,1,5,10,17
13,0,0,14,20,0,1,5,10,22
14,0,0,22,16,0,1,5,10,19
15,0,0,24,42,0,1,5,10,34
16,0,0,16,24,0,1,5,10,31
17,0,0,17,17,0,1,5,10,82
18,0,0,17,20,0,1,5,10,68
19,0,0,15,17,0,1,5,10,47
20,0,0,17,28,0,1,5,10,42
30,0,0,15,17,0,1,5,10,74
40,0,0,18,20,0,1,5,10,32
50,0,0,16,23,0,1,5,10,57
100,0,0,22,25,0,1,5,10,55
200,0,0,16,24,0,1,5,10,44
300,0,0,15,44,0,1,5,10,36
400,0,0,13,15,0,1,5,10,44
500,0,0,11,19,0,1,5,10,44
1000,0,0,10,16,0,1,5,10,35
2000,0,0,21,14,0,1,5,10,49
