n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0.001229,0.069499,1.602262,3.101586,0.017980,0.061815,0.122835,0.201694,0.362874
3,0.000518,0.055153,1.558088,3.017911,0.021469,0.071021,0.157958,0.267181,0.704776
4,0.000605,0.051461,1.641525,3.308678,0.022696,0.082069,0.200386,0.352974,0.888387
5,0.000863,0.053768,1.572558,3.038972,0.027550,0.094264,0.244526,0.433539,1.075158
6,0.000608,0.060143,1.697810,3.077606,0.021900,0.088092,0.246899,0.439670,0.956328
7,0.000879,0.062615,1.633749,3.061263,0.019748,0.090088,0.269223,0.493895,1.458551
8,0.000800,0.064595,1.655190,3.165695,0.024194,0.103504,0.310373,0.561431,1.678626
9,0.000518,0.066304,1.676077,3.265404,0.024222,0.109071,0.337121,0.622733,2.260048
10,0.000876,0.063102,1.664782,3.103471,0.023532,0.115589,0.388096,0.748789,2.434599
11,0.000553,0.067175,1.755057,3.179033,0.025516,0.123140,0.399662,0.744235,1.907491
12,0.000840,0.067197,1.766854,3.272072,0.024320,0.129891,0.427804,0.798254,1.386328
13,0.000866,0.067065,1.753975,3.215534,0.024258,0.131894,0.451257,0.847439,1.872741
14,0.000868,0.068049,1.857798,3.347654,0.022332,0.137758,0.479149,0.922938,1.788672
15,0.000881,0.070947,1.829595,3.472969,0.024286,0.145177,0.503464,0.954085,3.295437
16,0.000621,0.077291,1.909407,3.388418,0.023614,0.146791,0.529560,1.010529,3.124015
17,0.000876,0.074571,1.908000,3.443207,0.023440,0.149722,0.559031,1.069575,8.558682
18,0.000525,0.072502,1.856232,3.373088,0.024427,0.158652,0.581533,1.125935,7.665946
19,0.000520,0.077050,1.860207,3.397063,0.026102,0.168578,0.668335,1.264840,5.671024
20,0.000867,0.053314,1.898402,3.613015,0.024247,0.166744,0.638759,1.221591,5.100170
30,0.000870,0.189764,2.119781,3.752461,0.028318,0.242591,0.992636,1.906679,13.385777
40,0.000516,0.200832,2.360590,4.037449,0.027255,0.284686,1.189751,2.320993,7.580884
50,0.000525,0.216079,2.570247,4.544582,0.027201,0.341363,1.487301,2.899699,16.842907
100,0.000520,0.247183,3.859471,6.002779,0.024218,0.627392,3.001644,5.865904,32.507294
200,0.000524,0.253894,5.999749,9.422251,0.024127,1.188401,5.730048,11.493220,51.219283
300,0.000864,0.259246,8.053286,15.684246,0.026461,1.863244,8.553620,16.944622,62.751500
400,0.000763,0.258160,10.072443,13.672441,0.024304,2.291122,11.208227,22.557631,101.904011
500,0.000880,0.253707,12.011125,17.275907,0.026986,2.854577,14.115901,28.402532,128.004166
1000,0.000520,0.257622,22.325340,29.998957,0.026458,5.631731,28.339181,56.556765,203.248431
2000,0.000536,0.255584,49.965713,54.704813,0.024110,11.349786,56.623465,112.764646,563.450161
