n_clusters,Random,RG,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0,0,0,1,5,10,21
3,0,0,0,1,5,10,24
4,0,0,0,1,5,10,23
5,0,0,0,1,5,10,51
6,0,0,0,1,5,10,15
7,0,0,0,1,5,10,59
8,0,0,0,1,5,10,49
9,0,0,0,1,5,10,37
10,0,0,0,1,5,10,42
11,0,0,0,1,5,10,47
12,0,0,0,1,5,10,25
13,0,0,0,1,5,10,23
14,0,0,0,1,5,10,31
15,0,0,0,1,5,10,20
16,0,0,0,1,5,10,30
17,0,0,0,1,5,10,39
18,0,0,0,1,5,10,39
19,0,0,0,1,5,10,37
20,0,0,0,1,5,10,33
30,0,0,0,1,5,10,54
40,0,0,0,1,5,10,74
50,0,0,0,1,5,10,69
100,0,0,0,1,5,10,100
200,0,0,0,1,5,10,100
300,0,0,0,1,5,10,100
400,0,0,0,1,5,10,100
500,0,0,0,1,5,10,100
1000,0,0,0,1,5,10,100
2000,0,0,0,1,5,10,100
