n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0,0,18,5,0,1,5,10,21
3,0,0,4,9,0,1,5,10,24
4,0,0,10,11,0,1,5,10,23
5,0,0,9,12,0,1,5,10,51
6,0,0,15,10,0,1,5,10,15
7,0,0,10,15,0,1,5,10,59
8,0,0,12,15,0,1,5,10,49
9,0,0,7,21,0,1,5,10,37
10,0,0,20,16,0,1,5,10,42
11,0,0,18,16,0,1,5,10,47
12,0,0,24,15,0,1,5,10,25
13,0,0,16,21,0,1,5,10,23
14,0,0,27,33,0,1,5,10,31
15,0,0,21,17,0,1,5,10,20
16,0,0,32,28,0,1,5,10,30
17,0,0,19,19,0,1,5,10,39
18,0,0,49,17,0,1,5,10,39
19,0,0,33,18,0,1,5,10,37
20,0,0,23,20,0,1,5,10,33
30,0,0,42,15,0,1,5,10,57
40,0,0,23,37,0,1,5,10,29
50,0,0,22,31,0,1,5,10,55
100,0,0,17,37,0,1,5,10,100
200,0,0,16,19,0,1,5,10,100
300,0,0,14,21,0,1,5,10,100
400,0,0,16,20,0,1,5,10,100
500,0,0,15,24,0,1,5,10,100
1000,0,0,11,14,0,1,5,10,100
2000,0,0,39,11,0,1,5,10,100
