n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,0.002113,0.498982,6.301869,11.175160,0.386334,1.146126,2.148571,3.419139,6.439270
3,0.003018,0.448101,6.320680,10.959321,0.371272,1.207303,2.574948,4.323360,9.402152
4,0.002955,0.452892,6.364847,11.357840,0.401368,1.417339,3.210023,5.343120,11.343671
5,0.001615,0.470008,6.652488,11.624983,0.380392,1.483153,3.704258,6.295415,28.202344
6,0.003013,0.458664,7.209931,11.699412,0.383101,1.494221,3.924493,6.983942,10.795781
7,0.003051,0.469852,7.444616,12.099631,0.380014,1.583724,4.372032,8.189574,43.868297
8,0.003028,0.485524,7.737598,12.430284,0.378692,1.676187,4.993271,8.951317,43.572300
9,0.001806,0.523240,8.844591,14.227803,0.389890,1.777703,5.288351,9.680150,34.621157
10,0.001689,0.491134,8.213538,13.241959,0.394754,1.951220,5.963286,10.789655,42.949180
11,0.001671,0.502569,8.520846,13.580563,0.394728,2.106032,6.403271,11.681047,52.244504
12,0.001603,0.516749,9.115462,13.908221,0.373511,2.032099,6.659379,12.568458,30.998042
13,0.001704,0.545762,9.134246,14.468256,0.393952,2.138499,7.100526,13.258631,30.868411
14,0.003049,0.522347,9.781455,15.089659,0.408348,2.334612,7.761493,14.373529,43.815232
15,0.001817,0.566326,9.825374,14.942219,0.373299,2.295863,7.990583,15.051157,30.796225
16,0.001612,0.531604,10.520783,15.736398,0.405285,2.525674,8.545499,16.073982,48.043053
17,0.003009,0.540194,10.342317,15.720829,0.389563,2.494281,8.995169,17.094305,65.403633
18,0.001598,0.534258,11.266823,15.823563,0.380407,2.550669,11.251927,19.638820,72.090399
19,0.001751,0.572320,11.237895,16.624067,0.387781,2.718935,9.812964,18.849339,70.957966
20,0.001602,0.543555,11.243357,16.565765,0.383278,2.749031,10.410820,19.640562,64.968238
30,0.001573,0.664409,15.257831,19.405882,0.377760,3.628193,14.783684,28.443776,161.703221
40,0.001754,0.834127,17.400430,25.065549,0.391152,4.521281,19.252313,37.404264,111.230069
50,0.001573,0.953132,20.507375,27.842823,0.405968,5.659005,23.835671,46.869395,258.302086
100,0.001574,2.767544,34.939895,47.573175,0.436548,9.951848,46.241376,92.037663,913.521018
200,0.001649,2.923926,63.965590,74.635342,0.437193,18.771319,90.265070,179.638989,1805.379364
300,0.001577,2.985360,92.512427,108.613818,0.430691,27.719781,134.717442,268.572131,2704.077447
400,0.001612,3.105052,122.627346,140.429692,0.430220,36.574598,179.083307,357.627091,3605.230360
500,0.001578,3.100853,151.250192,178.559384,0.439401,45.402628,223.754271,446.546191,4501.377676
1000,0.001991,3.247941,292.344999,320.726489,0.439552,90.015113,446.470850,891.875621,9003.494041
2000,0.001618,3.316315,652.692311,615.788689,0.436762,178.944724,891.112394,1780.988517,17989.918968
