experiment,dataset,method,n_clusters,n_set,iter,entropy,time
1,ng20,coresets,1000,3000,0,3.755400,15.068293
1,ng20,coresets,1000,3000,1,3.752717,14.919374
1,ng20,coresets,1000,3000,5,3.752061,16.602060
1,ng20,coresets,1000,3000,10,3.752108,18.123693
1,ng20,coresets,1000,3000,14,3.752126,20.051825
2,ng20,coresets,1000,3000,0,3.755931,15.022898
2,ng20,coresets,1000,3000,1,3.753197,15.411490
2,ng20,coresets,1000,3000,5,3.752599,16.876728
2,ng20,coresets,1000,3000,10,3.752591,18.746366
3,ng20,coresets,1000,3000,0,3.756277,15.104715
3,ng20,coresets,1000,3000,1,3.753570,15.246155
3,ng20,coresets,1000,3000,5,3.752491,16.493243
3,ng20,coresets,1000,3000,10,3.752395,18.460948
3,ng20,coresets,1000,3000,11,3.752399,19.162260
4,ng20,coresets,1000,3000,0,3.755521,14.610754
4,ng20,coresets,1000,3000,1,3.753145,14.970467
4,ng20,coresets,1000,3000,5,3.752297,16.368450
4,ng20,coresets,1000,3000,10,3.752208,18.150304
4,ng20,coresets,1000,3000,15,3.752182,20.351721
5,ng20,coresets,1000,3000,0,3.755968,14.713873
5,ng20,coresets,1000,3000,1,3.753102,15.127849
5,ng20,coresets,1000,3000,5,3.752296,16.462243
5,ng20,coresets,1000,3000,8,3.752309,17.812677
6,ng20,coresets,1000,3000,0,3.756471,14.875282
6,ng20,coresets,1000,3000,1,3.753425,15.011034
6,ng20,coresets,1000,3000,5,3.752311,16.423600
6,ng20,coresets,1000,3000,10,3.752275,18.284595
6,ng20,coresets,1000,3000,16,3.752271,20.679762
7,ng20,coresets,1000,3000,0,3.756320,14.762184
7,ng20,coresets,1000,3000,1,3.753866,15.081675
7,ng20,coresets,1000,3000,5,3.752845,16.545269
7,ng20,coresets,1000,3000,10,3.752594,18.411975
7,ng20,coresets,1000,3000,22,3.752395,22.838808
8,ng20,coresets,1000,3000,0,3.755409,14.630641
8,ng20,coresets,1000,3000,1,3.752718,15.088971
8,ng20,coresets,1000,3000,5,3.752171,16.397078
8,ng20,coresets,1000,3000,10,3.752009,18.224670
8,ng20,coresets,1000,3000,16,3.752012,20.606249
9,ng20,coresets,1000,3000,0,3.755315,14.630309
