n_clusters,time,entropy,iterations
2,0.672939,5.057129,0
3,0.559893,5.052538,0
4,0.466947,5.052002,0
5,0.496300,5.051237,0
6,0.502378,5.042887,0
7,0.519626,5.036654,0
8,0.528721,5.008882,0
9,0.538109,4.997618,0
10,0.537938,4.980996,0
11,0.505468,4.955091,0
12,0.547333,4.937289,0
13,0.525590,4.924504,0
14,0.546881,4.910745,0
15,0.549844,4.881059,0
16,0.576157,4.860660,0
17,0.590035,4.849728,0
18,0.577823,4.840336,0
19,0.587100,4.827674,0
20,0.566450,4.821522,0
30,0.744119,4.722946,0
40,0.892271,4.709652,0
50,1.077857,4.699163,0
100,2.993127,4.691775,0
200,3.093993,4.635949,0
300,3.220461,4.611341,0
400,3.471586,4.594319,0
500,3.403067,4.581078,0
1000,3.609640,4.539287,0
2000,3.648259,4.501084,0
